"Datum","SAP.DE","SIE.DE","BAYN.DE","BAS.DE","ALV.DE","DAI.DE","DTE.DE","ADS.DE","BMW.DE","VOW3.DE"
"04-04-2018",81.746025,93.951729,83.485329,75.610901,167.806168,60.41214,11.948146,189.856674,79.467415,152.718536
"05-04-2018",84.27446,97.258705,86.015244,77.814407,172.104172,61.742607,12.257896,195.999649,80.64019,158.032944
"06-04-2018",84.089684,97.072922,85.494606,77.436401,171.424576,61.152893,12.253341,195.519745,80.885658,156.028229
"09-04-2018",84.964912,97.537392,85.330231,77.012291,172.122543,60.797184,12.312558,194.463913,80.312897,155.328461
"10-04-2018",85.101059,97.816071,89.367058,77.482498,173.096024,61.536674,12.349,197.247452,81.812973,162.250458
"11-04-2018",84.449493,96.496986,88.590721,76.505211,171.204163,61.078007,12.617753,198.207291,81.703888,163.744537
"12-04-2018",85.324715,97.27729,89.960747,77.399521,173.242981,61.283939,12.635973,201.854691,81.75843,166.997482
"13-04-2018",85.548393,97.407333,90.097725,77.556259,173.959305,61.452431,12.708856,202.142639,83.031212,167.640518
"16-04-2018",84.799583,96.794243,89.485748,77.620796,174.01442,61.134167,12.635973,202.238632,82.422096,162.779999
"17-04-2018",86.024902,98.150482,91.951714,78.662621,176.438919,61.780052,12.795403,204.638245,82.931213,165.238632
"18-04-2018",86.102699,98.522049,91.604622,79.298782,176.438919,61.059288,12.749852,205.118149,82.549377,164.879288
"19-04-2018",85.295547,99.971176,90.96537,79.354103,176.93486,61.0312,12.71341,202.046646,82.622101,163.858002
"20-04-2018",84.138306,100.602852,90.417351,79.92572,177.743011,60.956318,12.795403,203.678391,82.749382,161.796539
"23-04-2018",84.750961,100.770058,90.225616,80.257629,179.175705,61.171612,12.950278,203.198456,82.913025,160.226807
"24-04-2018",87.726723,98.72641,89.476654,79.658348,178.955292,60.993763,12.859176,196.575562,82.849388,160.415924
"25-04-2018",86.686188,97.370178,89.019951,77.832848,177.504257,60.853352,12.8364,194.175964,81.158394,157.919479
"26-04-2018",87.843422,97.29586,88.901253,77.998802,179.212433,60.87207,13.059602,194.943848,82.176636,162.118057
"27-04-2018",89.4869,97.983269,89.622734,79.354103,178.624664,61.443069,13.246363,196.287613,83.185768,163.328461
"30-04-2018",89.875885,98.131905,90.673119,79.584595,180.424698,61.312019,13.205366,195.7117,84.067627,162.496307
"02-05-2018",91.266525,100.472801,90.983559,80.469688,182.885941,62.294888,13.250918,198.879181,84.631287,168.170059
"03-05-2018",91.363777,99.934021,91.303284,79.095947,181.214508,62.088955,13.086932,185.345428,83.785797,166.467926
"04-05-2018",92.812759,101.383148,93.04805,80.100899,182.75737,62.229362,13.209922,184.961487,83.240318,167.087067
"07-05-2018",93.357346,101.903343,93.248505,81.888779,184.594147,62.556984,13.269138,187.217102,83.240318,170.472916
"08-05-2018",93.853302,102.460701,92.919975,82.11824,183.951279,62.734829,13.214477,185.825363,83.585793,168.054459
"09-05-2018",94.076973,106.455093,93.303268,82.357262,182.334915,62.809719,13.027716,182.705856,83.603966,165.229691
"10-05-2018",94.85495,107.662697,93.742241,83.542809,183.770325,62.893967,13.036826,185.479294,83.967628,166.003601
"11-05-2018",94.738251,107.291122,93.248505,83.055206,183.291855,62.76292,13.000385,187.008499,83.803978,166.680771
"14-05-2018",94.183945,107.272545,93.668922,82.950035,182.239243,62.566338,12.954833,186.564545,83.485786,165.752075
"15-05-2018",92.871109,107.922798,93.157555,83.78183,183.98085,62.622509,12.895616,186.367218,83.794884,167.88031
"16-05-2018",93.522659,108.665947,94.508827,84.690117,181.339706,62.594429,12.891061,191.300171,83.785797,166.719452
"17-05-2018",94.281181,109.20472,95.440605,84.996063,183.540665,63.464966,12.881951,192.63208,84.822212,168.344666
"18-05-2018",94.577202,109.186134,95.312531,85.062988,183.253586,63.090538,12.838979,192.434753,84.128815,167.454681
"21-05-2018",94.577202,109.186134,95.312531,85.062988,183.253586,63.090538,12.838979,192.434753,84.128815,167.454681
"22-05-2018",94.833755,109.427666,95.933411,85.856537,184.47847,64.007874,12.924923,192.878723,86.27549,170.84053
"23-05-2018",95.139633,108.071419,93.833199,83.896561,180.746414,62.791,12.9106,191.201523,84.537254,166.158371
